Site Name,Full Address,Preschool Spaces,Infant/Toddler Spaces,School Age Spaces,All Available Spaces,Facility Code,Town Code,Address,Town,ZIP Code,Latitude,Longitude,Town from Census,lat,lon,person_id,senator_district,senator_full_name,senator_first_name,senator_last_name,senator_party,representative_district,representative_full_name,representative_first_name,representative_last_name,representative_party
Canterbury BOE at Canterbury Elementary School,67 Kitt Road Canterbury CT 06331,42.0,0.0,,42.0,FC0000220211,22.0,67 Kitt Road,Canterbury,06331,41.702717,-71.98828,CANTERBURY,41.702717,-71.98828,ocd-person/77713b68-e8ef-455e-80a6-1614488fb71a,29,Mae Flexer,Mae,Flexer,Democratic,47,Doug Dubitsky,Doug,Dubitsky,Republican
Carelot Children's Center - Chaplin,6 Old Willimantic Road Chaplin CT 06235,6.0,8.0,0.0,14.0,FC0000240141,24.0,6 Old Willimantic Road,Chaplin,06235,41.754547,-72.15028,CHAPLIN,41.754546999999995,-72.15028000000001,ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,35,Dan Champagne,Dan,Champagne,Republican,47,Doug Dubitsky,Doug,Dubitsky,Republican
Chaplin BOE at Chaplin Elementary School,240 Palmer Road Chaplin CT 06235,19.0,0.0,,19.0,FC0000240211,24.0,240 Palmer Road,Chaplin,06235,41.788635,-72.14683,CHAPLIN,41.788635,-72.14683000000001,ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,35,Dan Champagne,Dan,Champagne,Republican,47,Doug Dubitsky,Doug,Dubitsky,Republican
Cheshire BOE at Darcey Elementary School,1686 Waterbury Road Cheshire CT 06410,30.0,0.0,,30.0,FC0000250211,25.0,1686 Waterbury Road,Cheshire,06410,41.536674,-72.94004,CHESHIRE,41.536674,-72.94004,ocd-person/0cdb540d-c360-4981-b7a9-2a67e2f91121,16,Rob Sampson,Rob,Sampson,Republican,103,Liz Linehan,Liz,Linehan,Democratic
Clinton BOE at Lewin G. Joel Elementary School,137-A Glenwood Rd. Clinton CT 6413,30.0,0.0,,30.0,FC0000270311,27.0,137-A Glenwood Rd.,Clinton,6413,41.30453,-72.5248,CLINTON,41.30453,-72.5248,ocd-person/109295ad-521f-463a-b0af-66c9f0598a97,33,Norman Needleman,Norman,Needleman,Democratic,35,Christine Goupil,,,Democratic
CASTLE,396 Halls Hill Road Colchester CT 06415,9.0,0.0,,9.0,FC0000280241,28.0,396 Halls Hill Road,Colchester,06415,41.57207,-72.31944,COLCHESTER,41.572070000000004,-72.31944,ocd-person/109295ad-521f-463a-b0af-66c9f0598a97,33,Norman Needleman,Norman,Needleman,Democratic,48,Brian T. Smith,Brian,Smith,Democratic
Colchester BOE at Colchester Early Childhood Program,315 Halls Hill Road Colchester CT 06415,22.0,0.0,,22.0,FC0000280341,28.0,315 Halls Hill Road,Colchester,06415,41.571346,-72.32127,COLCHESTER,41.571346000000005,-72.32127,ocd-person/109295ad-521f-463a-b0af-66c9f0598a97,33,Norman Needleman,Norman,Needleman,Democratic,48,Brian T. Smith,Brian,Smith,Democratic
Hale Early Education Center,1776 Main Street Coventry CT 06238,72.0,0.0,,72.0,FC0000320311,32.0,1776 Main Street,Coventry,06238,41.780052,-72.31227,COVENTRY,41.780052000000005,-72.31227,ocd-person/d458d504-9053-4709-bf43-d955083a18ab,35,Dan Champagne,Dan,Champagne,Republican,8,Tim Ackert,Tim,Ackert,Republican
Cromwell BOE at Edna C. Steven School,25 Court Street Cromwell CT 06416,30.0,0.0,,30.0,FC0000330211,33.0,25 Court Street,Cromwell,06416,41.620255,-72.659035,CROMWELL,,,,,,,,,,,,,
Action Early Learning Center,75 Balmforth Avenue Danbury CT 06810,119.0,16.0,,135.0,FC0000340441,34.0,75 Balmforth Avenue,Danbury,06810,41.40341,-73.45546,DANBURY,41.40341,-73.45546,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,109,David Arconti Jr.,David,Arconti,Democratic
CIFC/HSNFC School Readiness Program,37 Foster Street Danbury CT 06810,62.0,0.0,,62.0,FC0000341241,34.0,37 Foster Street,Danbury,06810,41.39213,-73.45231,DANBURY,41.39213,-73.45231,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,110,Bob Godfrey,Bob,Godfrey,Democratic
Danbury Public School Readiness Program,17 Cottage Street Danbury CT 06810,56.0,0.0,,56.0,FC0000340111,34.0,17 Cottage Street,Danbury,06810,41.39253,-73.443,DANBURY,41.39253,-73.443,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,110,Bob Godfrey,Bob,Godfrey,Democratic
Hudson Country Montessori School,44A Shelter Rock Road Danbury CT 06810,60.0,0.0,,60.0,FC0000341021,34.0,44A Shelter Rock Road,Danbury,06810,41.39021,-73.423805,DANBURY,41.390209999999996,-73.423805,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,110,Bob Godfrey,Bob,Godfrey,Democratic
Interfaith Early Learning Center,119 Osborne Street Danbury CT 06810,93.0,0.0,,93.0,FC0000340641,34.0,119 Osborne Street,Danbury,06810,41.40448,-73.44026,DANBURY,41.40448,-73.44026,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,109,David Arconti Jr.,David,Arconti,Democratic
Little People Learning Center,6 Federal Road Danbury CT 06810,25.0,0.0,,25.0,FC0000341441,34.0,6 Federal Road,Danbury,06810,41.40022,-73.434525,DANBURY,41.400220000000004,-73.434525,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,109,David Arconti Jr.,David,Arconti,Democratic
Right Place,15 Foster Street Danbury CT 06810,34.0,0.0,,34.0,FC0000340741,34.0,15 Foster Street,Danbury,06810,41.390915,-73.45148,DANBURY,41.390915,-73.45148,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,110,Bob Godfrey,Bob,Godfrey,Democratic
St. Peter's Early Learning Center,98 Main Street Danbury CT 06810,36.0,0.0,,36.0,FC0000340521,34.0,98 Main Street,Danbury,06810,41.391113,-73.448906,DANBURY,41.391113,-73.44890600000001,ocd-person/34ca88f1-c2bc-430e-9f7c-93e8f3563e33,24,Julie Kushner,Julie,Kushner,Democratic,110,Bob Godfrey,Bob,Godfrey,Democratic
Derby Day Care Center,219 Division Street Ansonia CT 06401,30.0,14.0,0.0,44.0,FC0000370141,37.0,219 Division Street,Ansonia,06401,41.339096,-73.091896,ANSONIA,41.339096000000005,-73.09189599999999,ocd-person/3969673d-4a3e-487e-a572-42ce9f79e6dd,17,Jorge Cabrera,,,Democratic,104,Kara Rochelle,Kara,Rochelle,Democratic
Little Raiders University,75 Chatfield Street Derby CT 06418,30.0,0.0,,30.0,FC0000370111,37.0,75 Chatfield Street,Derby,06418,41.336716,-73.09785,DERBY,41.336715999999996,-73.09785,ocd-person/71c15656-a6f4-4b95-9537-69a82b2cb54c,17,Jorge Cabrera,,,Democratic,105,Nicole Klarides-Ditria,Nicole,Klarides-Ditria,Republican
Eastford BOE at Eastford Elementary School,12 Westford Road Eastford CT 06242,17.0,0.0,,17.0,FC0000390111,39.0,12 Westford Road,Eastford,06242,41.9022,-72.08234,EASTFORD,41.9022,-72.08234,ocd-person/50e78f89-a9e7-43f5-9566-a9f2cb23a5c9,35,Dan Champagne,Dan,Champagne,Republican,50,Patrick S. Boyd,Patrick,Boyd,Democratic
East Hampton BOE at Memorial Elementary School,20 Smith Street East Hampton CT 06424,15.0,0.0,,15.0,FC0000420111,42.0,20 Smith Street,East Hampton,06424,41.57117,-72.48812,EAST HAMPTON,41.57117,-72.48812,ocd-person/109295ad-521f-463a-b0af-66c9f0598a97,33,Norman Needleman,Norman,Needleman,Democratic,34,Irene M. Haines,Irene,Haines,Republican
East Hartford BOE @ Hockanum School,nan EAST HARTFORD CT ,76.0,0.0,,76.0,FC0000430211,43.0,,EAST HARTFORD,,41.72778,-72.6167,EAST HARTFORD,41.727779999999996,-72.6167,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,10,Henry J. Genga,Henry,Genga,Democratic
East Hartford BOE at the Early Learning Center at Hockanum School,191 Main Street East Hartford CT 06118,66.0,0.0,,66.0,FC0000430511,43.0,191 Main Street,East Hartford,06118,41.737125,-72.62964,EAST HARTFORD,41.737125,-72.62964000000001,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,10,Henry J. Genga,Henry,Genga,Democratic
YMCA Child Care Center,70A Canterbury Street East Hartford CT 06108,59.0,0.0,,59.0,FC0000430641,43.0,70A Canterbury Street,East Hartford,06108,41.735798,-72.61583,EAST HARTFORD,41.735797999999996,-72.61583,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,10,Henry J. Genga,Henry,Genga,Democratic
YMCA First Church,837 Main Street East Hartford CT 06108,20.0,0.0,,20.0,FC0000430341,43.0,837 Main Street,East Hartford,06108,41.768837,-72.64409,EAST HARTFORD,41.768837,-72.64409,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,10,Henry J. Genga,Henry,Genga,Democratic
YMCA Larson Center,81 Woodlawn Circle East Hartford CT 06108,30.0,0.0,0.0,30.0,FC0000430541,43.0,81 Woodlawn Circle,East Hartford,06108,41.778606,-72.592964,EAST HARTFORD,41.778605999999996,-72.592964,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,9,Jason Rojas,Jason,Rojas,Democratic
YWCA East Hartford Early Learning Center (& Nike Tykes),9 Signor Street East Hartford CT 06108,39.0,0.0,,39.0,FC0000430441,43.0,9 Signor Street,East Hartford,06108,41.776836,-72.628525,EAST HARTFORD,41.776835999999996,-72.628525,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,11,Jeff Currey,Jeff,Currey,Democratic
East Haven BOE at Overbrook Early Learning Center,54 Gerrish Avenue East Haven CT 06512,73.0,0.0,,73.0,FC0000441811,44.0,54 Gerrish Avenue,East Haven,06512,41.279198,-72.87962,EAST HAVEN,41.279198,-72.87961999999999,ocd-person/ca523a61-6db3-47c6-bf1f-8fd7638e999f,34,Paul Cicarella,,,Republican,99,Joseph H. Zullo,Joseph,Zullo,Republican
Carelot Children's Center-East Lyme,315 Flanders Road East Lyme CT 06333,1.0,15.0,0.0,16.0,FC0000450141,45.0,315 Flanders Road,East Lyme,06333,,,,,,,,,,,,,,,,
Work and Play School,20 Phelps Road East Windsor CT 06088,11.0,0.0,,11.0,FC0000470141,47.0,20 Phelps Road,East Windsor,06088,41.89353,-72.60396,EAST WINDSOR,41.89353,-72.60396,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,57,Jaime Foster,,,Democratic
Ellington BOE at Windermere Elementary School,2 Abbott Road Ellington CT 06029,5.0,0.0,,5.0,FC0000480611,48.0,2 Abbott Road,Ellington,06029,41.86987,-72.49919,ELLINGTON,41.86987,-72.49919,ocd-person/686df3d6-3199-4d48-a27e-7b3e7c65de66,3,Saud Anwar,Saud,Anwar,Democratic,57,Jaime Foster,,,Democratic
Enfield BOE at Steam Academy,117 Post Office Road Enfield CT 6082,37.0,0.0,,37.0,FC0491011 (Not 0491211),49.0,117 Post Office Road,Enfield,6082,41.96118,-72.576355,ENFIELD,,,,,,,,,,,,,
Enfield Head Start,1270 Enfield Street Enfield CT 06082,,0.0,,0.0,FC0000498011,49.0,1270 Enfield Street,Enfield,06082,41.978573,-72.592155,ENFIELD,41.978573,-72.592155,ocd-person/ea621753-2aca-412d-a221-d4fc5e48ba80,7,John A. Kissel,John,Kissel,Republican,58,Tom Arnone,Tom,Arnone,Democratic
Town of Enfield Child Development Center,117 Post Office Road Enfield CT 06082,56.0,27.0,71.0,154.0,FC0000490141,49.0,117 Post Office Road,Enfield,06082,41.96118,-72.576355,ENFIELD,41.96118,-72.576355,ocd-person/da65a738-37c7-41c1-8cd4-abae65ef0167,7,John A. Kissel,John,Kissel,Republican,59,Carol Hall,Carol,Hall,Republican
Family Centers First Steps Center,"Armstrong Court, Building 8 Greenwich CT 06830",26.0,0.0,,26.0,FC0000571841,57.0,"Armstrong Court, Building 8",Greenwich,06830,,,,,,,,,,,,,,,,
Gateway School,2 Chapel Street Greenwich CT 06830,18.0,0.0,0.0,18.0,FC0000571741,57.0,2 Chapel Street,Greenwich,06830,41.015396,-73.651695,GREENWICH,41.015396,-73.65169499999999,ocd-person/afcd681c-4285-440b-82be-54a7d2064111,36,Alex Kasser,Alex,Kasser,Democratic,149,Kimberly Fiorello,,,Republican
The Grauer Preschool,40 Arch Street Greenwich CT 06830,27.0,0.0,,27.0,FC0000570441,57.0,40 Arch Street,Greenwich,06830,41.023006,-73.62679,GREENWICH,41.023006,-73.62679,ocd-person/77dbf0fd-d45c-445c-9966-0135fff8feaa,36,Alex Kasser,Alex,Kasser,Democratic,150,Stephen R. Meskers,Stephen,Meskers,Democratic
Griswold BOE at Griswold Elementary Integrated Preschool,303 Slater Avenue Griswold CT 06351,26.0,0.0,,26.0,FC0000580311,58.0,303 Slater Avenue,Griswold,06351,41.595688,-71.97739,GRISWOLD,,,,,,,,,,,,,
Little Log School House,242 Bitgood Road Griswold CT 06351,9.0,0.0,,9.0,FC0000580341,58.0,242 Bitgood Road,Griswold,06351,41.59804,-71.92054,GRISWOLD,41.598040000000005,-71.92054,ocd-person/a648c360-3b9e-408d-ba2a-c171edada365,18,Heather S. Somers,Heather,Somers,Republican,45,Brian Lanoue,Brian,Lanoue,Republican
TVCCA Little Learners Griswold,303 Slater Avenue Griswold CT 06351,46.0,0.0,,46.0,FC0000580841,58.0,303 Slater Avenue,Griswold,06351,41.595688,-71.97739,GRISWOLD,41.595688,-71.97739,ocd-person/a648c360-3b9e-408d-ba2a-c171edada365,18,Heather S. Somers,Heather,Somers,Republican,45,Brian Lanoue,Brian,Lanoue,Republican
Groton-Mystic Early Childhood Dev Center,591 Poquonnock Road Groton CT 06340,40.0,6.0,,46.0,FC0000590141,59.0,591 Poquonnock Road,Groton,06340,41.343597,-72.063576,GROTON,41.343596999999995,-72.063576,ocd-person/4361534b-c294-475d-b2d8-384bc355ad17,18,Heather S. Somers,Heather,Somers,Republican,41,Joe de la Cruz,Joe,de la Cruz,Democratic
"The Riverfront Children's Center, Inc.",476 Thames Street Groton CT 06340,51.0,24.0,,75.0,FC0000590241,59.0,476 Thames Street,Groton,06340,41.35032,-72.08092,GROTON,41.35032,-72.08091999999999,ocd-person/a648c360-3b9e-408d-ba2a-c171edada365,18,Heather S. Somers,Heather,Somers,Republican,40,Christine Conley,Christine,Conley,Democratic
TVCCA Little Learners-Head Start-Groton,36 Central Avenue Groton CT 06340,40.0,16.0,0.0,56.0,FC0000590341,59.0,36 Central Avenue,Groton,06340,41.343094,-72.02663,GROTON,41.343094,-72.02663000000001,ocd-person/4361534b-c294-475d-b2d8-384bc355ad17,18,Heather S. Somers,Heather,Somers,Republican,41,Joe de la Cruz,Joe,de la Cruz,Democratic
Guilford Center for Children,47 Stone House Lane Guilford CT 06437,24.0,0.0,0.0,24.0,FC0000600141,60.0,47 Stone House Lane,Guilford,06437,41.27855,-72.6741,GUILFORD,41.27855,-72.6741,ocd-person/b56af509-8913-42b4-85bc-3df186448b01,12,Christine Cohen,Christine,Cohen,Democratic,98,Sean Scanlon,Sean,Scanlon,Democratic
Hamden BOE at Alice Peck School,35 Hillfield Road Hamden CT 06518,32.0,0.0,,32.0,FC0000628011,62.0,35 Hillfield Road,Hamden,06518,41.420925,-72.92238,HAMDEN,41.420925,-72.92238,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,88,Josh Elliott,Josh,Elliott,Democratic
Hamden BOE at Church Street,95 Church Street Hamden CT 06214,10.0,0.0,,10.0,FC0000620211,62.0,95 Church Street,Hamden,06214,41.354115,-72.934425,HAMDEN,41.354115,-72.934425,ocd-person/62869ad5-5744-4a50-95f5-56ecf5549e31,17,Jorge Cabrera,,,Democratic,91,Michael D'Agostino,Michael,D'Agostino,Democratic
Hamden BOE at Dunbar Hill School,315 Lane Street Hamden CT 06514,12.0,0.0,,12.0,FC0000620311,62.0,315 Lane Street,Hamden,06514,41.365124,-72.94124,HAMDEN,41.365124,-72.94124000000001,ocd-person/62869ad5-5744-4a50-95f5-56ecf5549e31,17,Jorge Cabrera,,,Democratic,91,Michael D'Agostino,Michael,D'Agostino,Democratic
Hamden BOE at Helen Street School,285 Helen Street Hamden CT 06214,24.0,0.0,,24.0,FC0000620411,62.0,285 Helen Street,Hamden,06214,41.349354,-72.94289,HAMDEN,41.349354,-72.94289,ocd-person/c78a6285-02a8-4b73-bac9-9f5807c2aacf,17,Jorge Cabrera,,,Democratic,94,Robyn A. Porter,Robyn,Porter,Democratic
Sleeping Giant Day Care,11 Pine Street Hamden CT 06514,30.0,0.0,0.0,30.0,FC0000620141,62.0,11 Pine Street,Hamden,06514,41.339607,-72.93568,HAMDEN,41.339607,-72.93568,ocd-person/c78a6285-02a8-4b73-bac9-9f5807c2aacf,17,Jorge Cabrera,,,Democratic,94,Robyn A. Porter,Robyn,Porter,Democratic
Tender Care Learning Center,40 London Drive Hamden CT 06517,12.0,0.0,,12.0,FC0000620341,62.0,40 London Drive,Hamden,06517,41.343563,-72.90121,HAMDEN,41.343563,-72.90120999999999,ocd-person/62869ad5-5744-4a50-95f5-56ecf5549e31,11,Martin M. Looney,Martin,Looney,Democratic,91,Michael D'Agostino,Michael,D'Agostino,Democratic
Hampton BOE at Hampton Elementary School,380 Main Street Hampton CT 06247,16.0,0.0,,16.0,FC0630111 (Not 0630011),63.0,380 Main Street,Hampton,06247,41.792526,-72.060455,HAMPTON,,,,,,,,,,,,,
Asylum Hill Early Learning Center (DFCYR),814 Asylum Avenue Hartford CT 06105,34.0,8.0,,42.0,FC0000645641,64.0,814 Asylum Avenue,Hartford,06105,41.769646,-72.69188,HARTFORD,41.769646,-72.69188,ocd-person/2a91c3d6-433a-4e8f-b5a5-38fc80b8ea57,2,Douglas McCrory,Douglas,McCrory,Democratic,1,Matthew Ritter,Matthew,Ritter,Democratic
Boys & Girls Clubs of Hartford Early Learning Center,170 Sigourney Street Hartford CT 06105,30.0,0.0,,30.0,FC0000647541,64.0,170 Sigourney Street,Hartford,06105,41.771202,-72.69344,HARTFORD,41.771202,-72.69344,ocd-person/2a91c3d6-433a-4e8f-b5a5-38fc80b8ea57,2,Douglas McCrory,Douglas,McCrory,Democratic,1,Matthew Ritter,Matthew,Ritter,Democratic
Capitol Child Development Center,450 Broad Street Hartford CT 06106,22.0,0.0,,22.0,FC0000642341,64.0,450 Broad Street,Hartford,06106,41.763153,-72.68667,HARTFORD,41.763153,-72.68666999999999,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Catholic Charities Therapeutic Learning Center,53 Wadsworth Street Hartford CT 06106,14.0,0.0,,14.0,FC0000647141,64.0,53 Wadsworth Street,Hartford,06106,41.75855,-72.679565,HARTFORD,41.75855,-72.679565,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
CRT - Children's Learning Center,211 Laurel Street Hartford CT 06106,54.0,16.0,0.0,70.0,FC0000640641,64.0,211 Laurel Street,Hartford,06106,41.764496,-72.69707,HARTFORD,41.764496,-72.69707,ocd-person/acb9a83b-c921-4631-826e-ffd02e2203b9,2,Douglas McCrory,Douglas,McCrory,Democratic,7,Joshua M. Hall,Joshua,Hall,Democratic
Douglas Street Early Care & Education -Community Renewal Team (CRT),nan Hartford CT ,107.0,0.0,,107.0,FC0000641341,64.0,,Hartford,,35.022926,-94.38346,HARTFORD,35.022926,-94.38346,ocd-person/65d8b209-ce03-403c-8437-7c4d7a2e7185,9,Terry Rice,Terry,Rice,Republican,21,Marcus E. Richmond,Marcus,Richmond,Republican
Hartford BOE at Asian Studies Dwight School,215 South Street Hartford CT 06114,36.0,0.0,,36.0,FC0000640711,64.0,215 South Street,Hartford,06114,41.734505,-72.68108,HARTFORD,41.734505,-72.68108000000001,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,6,Edwin Vargas,Edwin,Vargas,Democratic
Hartford BOE at Burr School,400 Wethersfield Avenue Hartford CT 06114,22.0,0.0,,22.0,FC0000642311,64.0,400 Wethersfield Avenue,Hartford,06114,41.744797,-72.67311,HARTFORD,41.744797,-72.67311,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Hartford BOE at Kennelly School,180 White Street Hartford CT 06114,36.0,0.0,,36.0,FC0000641011,64.0,180 White Street,Hartford,06114,41.73496,-72.69372,HARTFORD,41.73496,-72.69372,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,6,Edwin Vargas,Edwin,Vargas,Democratic
Hartford BOE at Latino Studies Burns School,195 Putnam Street Hartford CT 06106,29.0,0.0,,29.0,FC0000640611,64.0,195 Putnam Street,Hartford,06106,41.761368,-72.69049,HARTFORD,41.761368,-72.69049,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Hartford BOE at Maria C. Sanchez School,176 Babcock Street Hartford CT 06106,36.0,0.0,,36.0,FC0000643011,64.0,176 Babcock Street,Hartford,06106,41.75881,-72.68928,HARTFORD,41.75881,-72.68928000000001,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Hartford BOE at MD Fox School,470 Maple Avenue Hartford CT 06114,36.0,0.0,,36.0,FC0000640811,64.0,470 Maple Avenue,Hartford,06114,41.746395,-72.68099,HARTFORD,41.746395,-72.68099000000001,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Hartford BOE at Moylan School,101 Catherine Street Hartford CT 06106,36.0,0.0,,36.0,FC0000643211,64.0,101 Catherine Street,Hartford,06106,41.74633,-72.69852,HARTFORD,41.74633,-72.69852,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Hartford BOE at Naylor School,639 Franklin Avenue Hartford CT 06114,22.0,0.0,,22.0,FC0000641411,64.0,639 Franklin Avenue,Hartford,06114,41.731037,-72.67426,HARTFORD,41.731037,-72.67426,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,6,Edwin Vargas,Edwin,Vargas,Democratic
Hartford BOE at Parkville Community School,1755 Park Street Hartford CT 06106,29.0,0.0,,29.0,FC0000641511,64.0,1755 Park Street,Hartford,06106,41.7568,-72.70857,HARTFORD,41.7568,-72.70857,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Hartford BOE at Rawson School,260 Holcomb Street Hartford CT 06112,18.0,0.0,,18.0,FC0000641711,64.0,260 Holcomb Street,Hartford,06112,41.795765,-72.69962,HARTFORD,41.795765,-72.69962,ocd-person/acb9a83b-c921-4631-826e-ffd02e2203b9,2,Douglas McCrory,Douglas,McCrory,Democratic,7,Joshua M. Hall,Joshua,Hall,Democratic
Hartford BOE at SAND School,1750 Main Street Hartford CT 06120,18.0,0.0,,18.0,FC0000640111,64.0,1750 Main Street,Hartford,06120,41.77873,-72.676384,HARTFORD,41.778729999999996,-72.676384,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,5,Brandon L. McGee Jr.,Brandon,McGee,Democratic
Hartford BOE at West Middle School,44 Niles Street Hartford CT 06105,29.0,0.0,,29.0,FC0000642111,64.0,44 Niles Street,Hartford,06105,41.769836,-72.697174,HARTFORD,41.769836,-72.697174,ocd-person/2a91c3d6-433a-4e8f-b5a5-38fc80b8ea57,2,Douglas McCrory,Douglas,McCrory,Democratic,1,Matthew Ritter,Matthew,Ritter,Democratic
Hartford BOE at Wish School,350 Barbour Street Hartford CT 06120,18.0,0.0,,18.0,FC0000642211,64.0,350 Barbour Street,Hartford,06120,41.79403,-72.67705,HARTFORD,41.79403,-72.67705,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,5,Brandon L. McGee Jr.,Brandon,McGee,Democratic
Hartford Neighborhood Centers,38 Lawrence Street Hartford CT 06106,32.0,0.0,,32.0,FC0000642641,64.0,38 Lawrence Street,Hartford,06106,41.7574,-72.68806,HARTFORD,41.7574,-72.68806,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Hyland Early Learning Center (DFCYR),355 New Britain Avenue Hartford CT 06106,56.0,8.0,,64.0,FC0000642041,64.0,355 New Britain Avenue,Hartford,06106,41.740654,-72.695206,HARTFORD,41.740654,-72.695206,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,6,Edwin Vargas,Edwin,Vargas,Democratic
Job Corps. Academy Child Development Center,100 William Shorty Campbell St. Hartford CT 06106,54.0,32.0,0.0,86.0,FC0000640541,64.0,100 William Shorty Campbell St.,Hartford,06106,41.741196,-72.709755,HARTFORD,41.741196,-72.709755,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Kings Chapel Early Care & Education Ctr,400 Woodland Street Hartford CT 06112,20.0,27.0,0.0,47.0,FC0000645841,64.0,400 Woodland Street,Hartford,06112,41.780216,-72.69706,HARTFORD,41.780215999999996,-72.69706,ocd-person/2a91c3d6-433a-4e8f-b5a5-38fc80b8ea57,2,Douglas McCrory,Douglas,McCrory,Democratic,1,Matthew Ritter,Matthew,Ritter,Democratic
Metzner Early Learning Center (DFCYR),680 Franklin Avenue Hartford CT 06114,36.0,0.0,,36.0,FC0000641841,64.0,680 Franklin Avenue,Hartford,06114,41.7297,-72.67402,HARTFORD,41.7297,-72.67402,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,6,Edwin Vargas,Edwin,Vargas,Democratic
Our Lady of Fatima Day Care Center,50 Kane Street Hartford CT 06106,37.0,8.0,0.0,45.0,FC0000643841,64.0,50 Kane Street,Hartford,06106,41.75175,-72.71623,HARTFORD,41.75175,-72.71623000000001,ocd-person/96fa444a-7e86-4ead-9d2e-c3ffef258be2,5,Derek Slap,Derek,Slap,Democratic,20,Kate Farrar,,,Democratic
